Brand,Model,Price,Year,PS,Fuel
BMW,3er-Reihe,26970,2020-01-01,190,Diesel
BMW,3er-Reihe,194900,2023-01-01,551,Benzin
BMW,3er-Reihe,110990,2023-01-01,510,Benzin
BMW,3er-Reihe,124990,2023-01-01,510,Benzin
BMW,3er-Reihe,108999,2023-01-01,510,Benzin
BMW,3er-Reihe,47990,2023-01-01,184,Hybrid
BMW,3er-Reihe,59900,2023-01-01,190,Diesel
BMW,3er-Reihe,55900,2023-01-01,190,Diesel
BMW,3er-Reihe,46990,2023-01-01,204,Hybrid
BMW,3er-Reihe,55790,2023-01-01,190,Hybrid
BMW,3er-Reihe,57890,2023-01-01,340,Hybrid
BMW,3er-Reihe,58980,2023-01-01,184,Hybrid
BMW,3er-Reihe,49900,2023-01-01,163,Hybrid
BMW,3er-Reihe,49990,2023-01-01,184,Hybrid
BMW,3er-Reihe,51500,2023-01-01,190,Hybrid
BMW,3er-Reihe,240,2022-01-01,510,Benzin
BMW,3er-Reihe,29970,2023-01-01,190,Diesel
BMW,3er-Reihe,39990,2022-01-01,190,Diesel
BMW,3er-Reihe,119990,2022-01-01,510,Benzin
BMW,3er-Reihe,38990,2023-01-01,292,Hybrid
BMW,3er-Reihe,97990,2023-01-01,286,Diesel
BMW,3er-Reihe,56890,2022-01-01,184,Hybrid
BMW,3er-Reihe,129000,2022-01-01,510,Benzin
BMW,3er-Reihe,42900,2023-01-01,190,Diesel
BMW,3er-Reihe,47950,2022-01-01,190,Diesel
BMW,3er-Reihe,59990,2022-01-01,286,Diesel
BMW,3er-Reihe,44900,2023-01-01,150,Diesel
BMW,3er-Reihe,42990,2023-01-01,163,Hybrid
BMW,3er-Reihe,42990,2022-01-01,163,Hybrid
BMW,3er-Reihe,68850,2023-01-01,286,Hybrid
BMW,3er-Reihe,55890,2023-01-01,190,Hybrid
BMW,3er-Reihe,46890,2022-01-01,190,Hybrid
BMW,3er-Reihe,65980,2023-01-01,184,Hybrid
BMW,3er-Reihe,49980,2022-01-01,184,Hybrid
BMW,3er-Reihe,59900,2022-01-01,190,Hybrid
BMW,3er-Reihe,57980,2023-01-01,184,Hybrid
BMW,3er-Reihe,42500,2022-01-01,190,Hybrid
BMW,3er-Reihe,50950,2023-01-01,163,Hybrid
BMW,3er-Reihe,49900,2022-01-01,163,Hybrid
BMW,3er-Reihe,67490,2023-01-01,286,Hybrid
BMW,3er-Reihe,51900,2023-01-01,163,Hybrid
BMW,3er-Reihe,38900,2022-01-01,190,Diesel
BMW,3er-Reihe,47650,2022-01-01,190,Diesel
BMW,3er-Reihe,48180,2022-01-01,184,Hybrid
BMW,3er-Reihe,47750,2023-01-01,150,Hybrid
BMW,3er-Reihe,45500,2023-01-01,163,Hybrid
BMW,3er-Reihe,142900,2022-01-01,510,Benzin
BMW,3er-Reihe,33890,2022-01-01,150,Diesel
BMW,3er-Reihe,45990,2022-01-01,292,Hybrid
BMW,3er-Reihe,139900,2023-01-01,510,Benzin
BMW,3er-Reihe,116900,2023-01-01,510,Benzin
BMW,3er-Reihe,57900,2023-01-01,292,Hybrid
BMW,3er-Reihe,47990,2022-01-01,190,Hybrid
BMW,3er-Reihe,104990,2022-01-01,510,Benzin
BMW,3er-Reihe,49990,2022-01-01,292,Hybrid
BMW,3er-Reihe,33787,2022-01-01,122,Diesel
BMW,3er-Reihe,46990,2022-01-01,190,Diesel
BMW,3er-Reihe,59970,2023-01-01,190,Diesel
BMW,3er-Reihe,56912,2023-01-01,190,Hybrid
BMW,3er-Reihe,57770,2023-01-01,184,Hybrid
BMW,3er-Reihe,65800,2023-01-01,190,Hybrid
BMW,3er-Reihe,54990,2023-01-01,190,Hybrid
BMW,3er-Reihe,49990,2022-01-01,163,Hybrid
BMW,3er-Reihe,41980,2022-01-01,150,Hybrid
BMW,3er-Reihe,128900,2023-01-01,510,Benzin
BMW,3er-Reihe,45850,2022-01-01,184,Hybrid
BMW,3er-Reihe,121900,2023-01-01,510,Benzin
BMW,3er-Reihe,54990,2022-01-01,184,Hybrid
BMW,3er-Reihe,51790,2023-01-01,190,Hybrid
BMW,3er-Reihe,54990,2023-01-01,184,Hybrid
BMW,3er-Reihe,58490,2023-01-01,184,Hybrid
BMW,3er-Reihe,42750,2022-01-01,150,Hybrid
BMW,3er-Reihe,66750,2022-01-01,374,Hybrid
BMW,3er-Reihe,56890,2023-01-01,190,Hybrid
BMW,3er-Reihe,51890,2023-01-01,190,Hybrid
BMW,3er-Reihe,46995,2022-01-01,163,Hybrid
BMW,3er-Reihe,26480,2023-01-01,150,Diesel
BMW,3er-Reihe,117990,2022-01-01,510,Benzin
BMW,3er-Reihe,37900,2022-01-01,190,Hybrid
BMW,3er-Reihe,20390,2022-01-01,163,Hybrid
BMW,3er-Reihe,109999,2022-01-01,510,Benzin
BMW,3er-Reihe,54870,2023-01-01,184,Hybrid
BMW,3er-Reihe,69890,2023-01-01,190,Hybrid
BMW,3er-Reihe,62800,2022-01-01,163,Hybrid
BMW,3er-Reihe,52490,2022-01-01,184,Hybrid
BMW,3er-Reihe,48990,2022-01-01,184,Hybrid
BMW,3er-Reihe,54400,2023-01-01,190,Hybrid
BMW,3er-Reihe,53890,2023-01-01,190,Hybrid
BMW,3er-Reihe,57890,2023-01-01,190,Hybrid
BMW,3er-Reihe,41590,2022-01-01,150,Hybrid
BMW,3er-Reihe,71890,2023-01-01,190,Hybrid
BMW,3er-Reihe,43990,2022-01-01,163,Hybrid
BMW,3er-Reihe,49900,2023-01-01,184,Hybrid
BMW,3er-Reihe,44900,2022-01-01,190,Hybrid
BMW,3er-Reihe,48900,2022-01-01,150,Hybrid
BMW,3er-Reihe,51980,2022-01-01,190,Hybrid
BMW,3er-Reihe,33760,2022-01-01,184,Hybrid
BMW,3er-Reihe,39599,2022-01-01,163,Hybrid
BMW,3er-Reihe,39599,2022-01-01,163,Hybrid
BMW,3er-Reihe,34890,2022-01-01,150,Diesel
BMW,3er-Reihe,133333,2023-01-01,510,Benzin
BMW,3er-Reihe,51380,2023-01-01,190,Hybrid
BMW,3er-Reihe,49990,2023-01-01,190,Diesel
BMW,3er-Reihe,49990,2023-01-01,150,Hybrid
BMW,3er-Reihe,44990,2022-01-01,184,Hybrid
BMW,3er-Reihe,58990,2023-01-01,184,Hybrid
BMW,3er-Reihe,38890,2023-01-01,150,Hybrid
BMW,3er-Reihe,58950,2023-01-01,190,Hybrid
BMW,3er-Reihe,72990,2022-01-01,374,Hybrid
BMW,3er-Reihe,77990,2023-01-01,340,Hybrid
BMW,3er-Reihe,48880,2022-01-01,184,Hybrid
BMW,3er-Reihe,54950,2023-01-01,190,Hybrid
BMW,3er-Reihe,118990,2023-01-01,510,Benzin
BMW,3er-Reihe,46990,2022-01-01,184,Hybrid
BMW,3er-Reihe,139900,2023-01-01,510,Benzin
BMW,3er-Reihe,57995,2023-01-01,163,Hybrid
BMW,3er-Reihe,219999,2023-01-01,551,Benzin
BMW,3er-Reihe,199500,2023-01-01,551,Benzin
BMW,3er-Reihe,118500,2023-01-01,510,Benzin
BMW,3er-Reihe,43450,2022-01-01,204,Hybrid
BMW,3er-Reihe,118990,2022-01-01,510,Benzin
BMW,3er-Reihe,29990,2022-01-01,190,Diesel
BMW,3er-Reihe,29990,2022-01-01,190,Hybrid
BMW,3er-Reihe,51500,2022-01-01,292,Benzin
BMW,3er-Reihe,53770,2022-01-01,190,Hybrid
BMW,3er-Reihe,53900,2022-01-01,190,Hybrid
BMW,3er-Reihe,33900,2022-01-01,122,Hybrid
BMW,3er-Reihe,44900,2022-01-01,184,Hybrid
BMW,3er-Reihe,47990,2022-01-01,184,Hybrid
BMW,3er-Reihe,46890,2022-01-01,184,Benzin
BMW,3er-Reihe,57890,2023-01-01,190,Hybrid
BMW,3er-Reihe,42490,2022-01-01,190,Hybrid
BMW,3er-Reihe,58790,2023-01-01,190,Hybrid
BMW,3er-Reihe,54990,2022-01-01,184,Hybrid
BMW,3er-Reihe,69800,2023-01-01,190,Hybrid
BMW,3er-Reihe,121490,2023-01-01,510,Benzin
BMW,3er-Reihe,54890,2023-01-01,190,Hybrid
BMW,3er-Reihe,59980,2023-01-01,184,Hybrid
BMW,3er-Reihe,49890,2023-01-01,184,Hybrid
BMW,3er-Reihe,54880,2023-01-01,190,Hybrid
BMW,3er-Reihe,44900,2023-01-01,150,Hybrid
BMW,3er-Reihe,52900,2023-01-01,150,Hybrid
BMW,3er-Reihe,127900,2023-01-01,510,Benzin
BMW,3er-Reihe,54999,2023-01-01,163,Hybrid
BMW,3er-Reihe,126900,2023-01-01,510,Benzin
BMW,3er-Reihe,118900,2022-01-01,510,Benzin
BMW,3er-Reihe,49990,2023-01-01,286,Diesel
BMW,3er-Reihe,51990,2022-01-01,292,Hybrid
BMW,3er-Reihe,110990,2023-01-01,510,Benzin
BMW,3er-Reihe,37990,2022-01-01,163,Hybrid
BMW,3er-Reihe,129999,2023-01-01,510,Benzin
BMW,3er-Reihe,54900,2023-01-01,184,Hybrid
BMW,3er-Reihe,38990,2022-01-01,292,Hybrid
BMW,3er-Reihe,69990,2022-01-01,286,Hybrid
BMW,3er-Reihe,126510,2023-01-01,510,Benzin
BMW,3er-Reihe,67990,2022-01-01,374,Benzin
BMW,3er-Reihe,127900,2023-01-01,510,Benzin
BMW,3er-Reihe,39900,2022-01-01,150,Diesel
BMW,3er-Reihe,25990,2022-01-01,150,Diesel
BMW,3er-Reihe,43990,2022-01-01,292,Hybrid
BMW,3er-Reihe,57890,2023-01-01,184,Hybrid
BMW,3er-Reihe,38900,2022-01-01,190,Diesel
BMW,3er-Reihe,32890,2022-01-01,150,Diesel
BMW,3er-Reihe,57400,2023-01-01,292,Hybrid
BMW,3er-Reihe,192490,2023-01-01,551,Benzin
BMW,3er-Reihe,189900,2023-01-01,551,Benzin
BMW,3er-Reihe,45900,2023-01-01,150,Diesel
BMW,3er-Reihe,56900,2023-01-01,190,Diesel
BMW,3er-Reihe,122900,2023-01-01,510,Benzin
BMW,3er-Reihe,29590,2022-01-01,150,Diesel
BMW,3er-Reihe,27990,2022-01-01,150,Diesel
BMW,3er-Reihe,48950,2022-01-01,252,Hybrid
BMW,3er-Reihe,43000,2022-01-01,190,Diesel
BMW,3er-Reihe,119900,2023-01-01,510,Benzin
BMW,3er-Reihe,72250,2023-01-01,286,Hybrid
BMW,3er-Reihe,139000,2023-01-01,510,Benzin
BMW,3er-Reihe,49500,2022-01-01,204,Hybrid
BMW,3er-Reihe,51500,2022-01-01,190,Diesel
BMW,3er-Reihe,138990,2022-01-01,510,Benzin
BMW,3er-Reihe,46990,2023-01-01,190,Hybrid
BMW,3er-Reihe,57950,2023-01-01,190,Hybrid
BMW,3er-Reihe,123900,2023-01-01,510,Benzin
BMW,3er-Reihe,45790,2022-01-01,190,Hybrid
BMW,3er-Reihe,44890,2022-01-01,190,Hybrid
BMW,3er-Reihe,28990,2022-01-01,150,Hybrid
BMW,3er-Reihe,46990,2022-01-01,184,Hybrid
BMW,3er-Reihe,49950,2022-01-01,184,Hybrid
BMW,3er-Reihe,53990,2023-01-01,184,Hybrid
BMW,3er-Reihe,56900,2023-01-01,190,Hybrid
BMW,3er-Reihe,49912,2022-01-01,184,Hybrid
BMW,3er-Reihe,46650,2023-01-01,190,Hybrid
BMW,3er-Reihe,64850,2022-01-01,340,Hybrid
BMW,3er-Reihe,56450,2023-01-01,190,Hybrid
BMW,3er-Reihe,55750,2023-01-01,190,Hybrid
BMW,3er-Reihe,43250,2022-01-01,150,Hybrid
BMW,3er-Reihe,109950,2022-01-01,510,Benzin
BMW,3er-Reihe,59950,2022-01-01,286,Diesel
BMW,3er-Reihe,53450,2023-01-01,190,Hybrid
BMW,3er-Reihe,31900,2022-01-01,190,Diesel
BMW,3er-Reihe,53990,2022-01-01,184,Hybrid
BMW,3er-Reihe,57350,2023-01-01,190,Hybrid
BMW,3er-Reihe,64999,2022-01-01,374,Benzin
BMW,3er-Reihe,112500,2022-01-01,510,Benzin
BMW,3er-Reihe,40000,2022-01-01,258,Benzin
BMW,3er-Reihe,54990,2023-01-01,190,Hybrid
BMW,3er-Reihe,58999,2022-01-01,184,Hybrid
BMW,3er-Reihe,55490,2022-01-01,184,Hybrid
BMW,3er-Reihe,44850,2022-01-01,190,Diesel
BMW,3er-Reihe,51990,2023-01-01,150,Hybrid
BMW,3er-Reihe,56200,2023-01-01,184,Hybrid
BMW,3er-Reihe,66850,2023-01-01,286,Diesel
BMW,3er-Reihe,127880,2023-01-01,510,Benzin
BMW,3er-Reihe,88000,2023-01-01,510,Benzin
BMW,3er-Reihe,61000,2023-01-01,291,Hybrid
BMW,3er-Reihe,55900,2023-01-01,184,Hybrid
BMW,3er-Reihe,50991,2022-01-01,184,Hybrid
BMW,3er-Reihe,45491,2022-01-01,163,Hybrid
BMW,3er-Reihe,42600,2022-01-01,286,Hybrid
BMW,3er-Reihe,45850,2023-01-01,184,Benzin
BMW,3er-Reihe,67990,2023-01-01,184,Hybrid
BMW,3er-Reihe,52550,2023-01-01,190,Hybrid
BMW,3er-Reihe,58855,2023-01-01,163,Hybrid
BMW,3er-Reihe,36980,2022-01-01,190,Diesel
BMW,3er-Reihe,127990,2023-01-01,510,Benzin
BMW,3er-Reihe,55890,2023-01-01,184,Hybrid
BMW,3er-Reihe,76900,2023-01-01,374,Benzin
BMW,3er-Reihe,38500,2022-01-01,204,Hybrid
BMW,3er-Reihe,119999,2023-01-01,510,Benzin
BMW,3er-Reihe,46995,2022-01-01,190,Hybrid
BMW,3er-Reihe,42999,2022-01-01,184,Benzin
BMW,3er-Reihe,109990,2022-01-01,510,Benzin
BMW,3er-Reihe,36980,2022-01-01,190,Diesel
BMW,3er-Reihe,49992,2023-01-01,150,Hybrid
BMW,3er-Reihe,46990,2022-01-01,184,Hybrid
BMW,3er-Reihe,44900,2022-01-01,190,Diesel
BMW,3er-Reihe,44900,2022-01-01,190,Diesel
BMW,3er-Reihe,50992,2023-01-01,184,Hybrid
BMW,3er-Reihe,51692,2023-01-01,184,Hybrid
BMW,3er-Reihe,51900,2023-01-01,150,Hybrid
BMW,3er-Reihe,46995,2022-01-01,190,Hybrid
BMW,3er-Reihe,57499,2023-01-01,184,Hybrid
BMW,3er-Reihe,52991,2022-01-01,190,Hybrid
BMW,3er-Reihe,54992,2023-01-01,190,Hybrid
BMW,3er-Reihe,46990,2023-01-01,150,Hybrid
BMW,3er-Reihe,39950,2022-01-01,163,Hybrid
BMW,3er-Reihe,42900,2022-01-01,184,Benzin
BMW,3er-Reihe,46890,2022-01-01,163,Hybrid
BMW,3er-Reihe,110000,2023-01-01,510,Benzin
BMW,3er-Reihe,46000,2023-01-01,156,Benzin
BMW,3er-Reihe,76340,2023-01-01,374,Hybrid
BMW,3er-Reihe,48840,2022-01-01,190,Diesel
BMW,3er-Reihe,48840,2022-01-01,190,Diesel
BMW,3er-Reihe,41490,2023-01-01,184,Hybrid
BMW,3er-Reihe,75000,2023-01-01,374,Benzin
BMW,3er-Reihe,49899,2023-01-01,184,Hybrid
BMW,3er-Reihe,69800,2023-01-01,340,Hybrid
BMW,3er-Reihe,35900,2022-01-01,150,Hybrid
BMW,3er-Reihe,49990,2023-01-01,150,Hybrid
BMW,3er-Reihe,48948,2023-01-01,292,Hybrid
BMW,3er-Reihe,56800,2023-01-01,150,Diesel
BMW,3er-Reihe,52892,2023-01-01,190,Hybrid
BMW,3er-Reihe,56999,2023-01-01,150,Hybrid
BMW,3er-Reihe,67991,2023-01-01,286,Hybrid
BMW,3er-Reihe,38500,2022-01-01,291,Hybrid
BMW,3er-Reihe,80000,2022-01-01,340,Hybrid
BMW,3er-Reihe,50490,2022-01-01,190,Diesel
BMW,3er-Reihe,54495,2022-01-01,190,Hybrid
BMW,3er-Reihe,52995,2023-01-01,190,Hybrid
BMW,3er-Reihe,55899,2022-01-01,184,Hybrid
BMW,3er-Reihe,61495,2023-01-01,150,Hybrid
BMW,3er-Reihe,84990,2023-01-01,374,Hybrid
BMW,3er-Reihe,57991,2023-01-01,184,Hybrid
BMW,3er-Reihe,39500,2023-01-01,190,Hybrid
BMW,3er-Reihe,50490,2022-01-01,190,Diesel
BMW,3er-Reihe,114850,2023-01-01,510,Benzin
BMW,3er-Reihe,52900,2023-01-01,190,Hybrid
BMW,3er-Reihe,49899,2023-01-01,184,Hybrid
BMW,3er-Reihe,32900,2022-01-01,190,Hybrid
BMW,3er-Reihe,54800,2023-01-01,189,Diesel
BMW,3er-Reihe,46990,2023-01-01,150,Hybrid
BMW,3er-Reihe,49990,2022-01-01,150,Hybrid
BMW,3er-Reihe,45990,2023-01-01,150,Hybrid
BMW,3er-Reihe,44990,2022-01-01,150,Hybrid
BMW,3er-Reihe,49492,2023-01-01,184,Hybrid
BMW,3er-Reihe,36990,2022-01-01,190,Diesel
BMW,3er-Reihe,59700,2022-01-01,286,Hybrid
BMW,3er-Reihe,45990,2023-01-01,184,Hybrid
BMW,3er-Reihe,45990,2023-01-01,184,Hybrid
BMW,3er-Reihe,45990,2022-01-01,150,Hybrid
BMW,3er-Reihe,47495,2022-01-01,190,Hybrid
BMW,3er-Reihe,47495,2022-01-01,190,Hybrid
BMW,3er-Reihe,109000,2023-01-01,510,Benzin
BMW,3er-Reihe,52900,2023-01-01,163,Hybrid
BMW,3er-Reihe,62900,2023-01-01,189,Diesel
BMW,3er-Reihe,49900,2022-01-01,163,Hybrid
BMW,3er-Reihe,54990,2023-01-01,190,Hybrid
BMW,3er-Reihe,45492,2023-01-01,150,Hybrid
BMW,3er-Reihe,54492,2023-01-01,184,Hybrid
BMW,3er-Reihe,43590,2023-01-01,184,Hybrid
BMW,3er-Reihe,45990,2023-01-01,184,Hybrid
BMW,3er-Reihe,45990,2023-01-01,184,Hybrid
BMW,3er-Reihe,40499,2022-01-01,122,Hybrid
BMW,3er-Reihe,43690,2022-01-01,190,Hybrid
BMW,3er-Reihe,69990,2022-01-01,190,Diesel
BMW,3er-Reihe,47900,2022-01-01,150,Diesel
BMW,3er-Reihe,46900,2022-01-01,184,Hybrid
BMW,3er-Reihe,43990,2022-01-01,163,Hybrid
BMW,3er-Reihe,66500,2023-01-01,190,Diesel
BMW,3er-Reihe,44890,2022-01-01,150,Diesel
BMW,3er-Reihe,45900,2022-01-01,163,Hybrid
BMW,3er-Reihe,59999,2023-01-01,190,Hybrid
BMW,3er-Reihe,45999,2022-01-01,190,Hybrid
BMW,3er-Reihe,53900,2022-01-01,190,Diesel
BMW,3er-Reihe,54800,2022-01-01,190,Diesel
BMW,3er-Reihe,49800,2022-01-01,190,Diesel
BMW,3er-Reihe,52990,2023-01-01,150,Hybrid
BMW,3er-Reihe,59900,2022-01-01,204,Hybrid
BMW,3er-Reihe,58990,2023-01-01,286,Diesel
BMW,3er-Reihe,52350,2023-01-01,163,Hybrid
BMW,3er-Reihe,50990,2022-01-01,163,Hybrid
BMW,3er-Reihe,58990,2022-01-01,184,Hybrid
BMW,3er-Reihe,56990,2022-01-01,190,Hybrid
BMW,3er-Reihe,57491,2023-01-01,184,Hybrid
BMW,3er-Reihe,56990,2023-01-01,190,Hybrid
BMW,3er-Reihe,56980,2023-01-01,190,Hybrid
BMW,3er-Reihe,42890,2022-01-01,190,Diesel
BMW,3er-Reihe,63995,2023-01-01,150,Hybrid
BMW,3er-Reihe,52900,2022-01-01,184,Benzin
BMW,3er-Reihe,45900,2022-01-01,150,Hybrid
BMW,3er-Reihe,104991,2022-01-01,510,Benzin
BMW,3er-Reihe,129991,2023-01-01,510,Benzin
BMW,3er-Reihe,59990,2023-01-01,184,Benzin
BMW,3er-Reihe,37990,2022-01-01,190,Hybrid
BMW,3er-Reihe,53850,2023-01-01,184,Benzin
BMW,3er-Reihe,42750,2022-01-01,150,Hybrid
BMW,3er-Reihe,183900,2023-01-01,551,Benzin
BMW,3er-Reihe,42491,2022-01-01,150,Hybrid
BMW,3er-Reihe,43890,2022-01-01,163,Hybrid
BMW,3er-Reihe,48740,2022-01-01,184,Hybrid
BMW,3er-Reihe,48900,2023-01-01,156,Benzin
BMW,3er-Reihe,46700,2023-01-01,150,Hybrid
BMW,3er-Reihe,49900,2023-01-01,156,Benzin
BMW,3er-Reihe,52491,2023-01-01,163,Hybrid
BMW,3er-Reihe,45900,2022-01-01,150,Hybrid
BMW,3er-Reihe,56990,2023-01-01,190,Hybrid
BMW,3er-Reihe,49995,2023-01-01,190,Hybrid
BMW,3er-Reihe,57495,2023-01-01,190,Hybrid
BMW,3er-Reihe,43147,2023-01-01,150,Hybrid
BMW,3er-Reihe,53900,2022-01-01,184,Hybrid
BMW,3er-Reihe,56490,2022-01-01,163,Hybrid
BMW,3er-Reihe,61490,2022-01-01,184,Hybrid
BMW,3er-Reihe,61490,2022-01-01,184,Hybrid
BMW,3er-Reihe,52900,2023-01-01,184,Hybrid
BMW,3er-Reihe,53991,2022-01-01,184,Hybrid
BMW,3er-Reihe,49950,2022-01-01,184,Hybrid
BMW,3er-Reihe,62990,2023-01-01,190,Hybrid
BMW,3er-Reihe,49992,2022-01-01,190,Hybrid
BMW,3er-Reihe,43992,2022-01-01,150,Hybrid
BMW,3er-Reihe,59900,2023-01-01,190,Hybrid
BMW,3er-Reihe,48900,2022-01-01,184,Hybrid
BMW,3er-Reihe,58491,2023-01-01,184,Hybrid
BMW,3er-Reihe,46950,2022-01-01,184,Hybrid
BMW,3er-Reihe,63100,2022-01-01,190,Hybrid
BMW,3er-Reihe,55990,2022-01-01,190,Hybrid
BMW,3er-Reihe,44800,2022-01-01,184,Hybrid
BMW,3er-Reihe,47989,2023-01-01,184,Hybrid
BMW,3er-Reihe,51990,2022-01-01,184,Hybrid
BMW,3er-Reihe,55999,2022-01-01,190,Hybrid
BMW,3er-Reihe,53492,2022-01-01,190,Hybrid
BMW,3er-Reihe,44900,2022-01-01,190,Diesel
BMW,3er-Reihe,55900,2023-01-01,150,Hybrid
BMW,3er-Reihe,52900,2023-01-01,150,Hybrid
BMW,3er-Reihe,52900,2023-01-01,150,Hybrid
BMW,3er-Reihe,62900,2022-01-01,374,Benzin
BMW,3er-Reihe,77900,2022-01-01,374,Benzin
BMW,3er-Reihe,42290,2022-01-01,163,Hybrid
BMW,3er-Reihe,54991,2022-01-01,184,Hybrid
BMW,3er-Reihe,61900,2022-01-01,286,Diesel
BMW,3er-Reihe,48800,2023-01-01,156,Benzin
BMW,3er-Reihe,52900,2022-01-01,184,Hybrid
BMW,3er-Reihe,52950,2023-01-01,190,Hybrid
BMW,3er-Reihe,52499,2023-01-01,190,Hybrid
BMW,3er-Reihe,44992,2022-01-01,190,Hybrid
BMW,3er-Reihe,59995,2023-01-01,184,Hybrid
BMW,3er-Reihe,43992,2022-01-01,190,Hybrid
BMW,3er-Reihe,51890,2022-01-01,184,Hybrid
BMW,5er-Reihe,26970,2023-01-01,190,Diesel
BMW,5er-Reihe,109890,2023-01-01,601,Elektro
BMW,5er-Reihe,49990,2023-01-01,190,Diesel
BMW,5er-Reihe,88890,2023-01-01,313,Hybrid
BMW,5er-Reihe,84890,2023-01-01,197,Hybrid
BMW,5er-Reihe,82900,2022-01-01,197,Hybrid
BMW,5er-Reihe,59900,2023-01-01,190,Hybrid
